s,r,Reputation,Prediction,fdk_val,Response,value,trial,fdk_val_1b
sub-1172,1,Mean60,1,0,2,2,17,1
sub-1172,1,Nice80,1,1,3,3,18,2
sub-1172,1,Mean80,0,1,4,2,19,1
sub-1172,1,Nice60,0,0,2,3,20,2
sub-1172,1,Mean60,0,1,3,2,21,1
sub-1172,1,Nice80,1,1,4,3,22,2
sub-1172,1,Mean80,0,0,2,2,23,2
sub-1172,1,Nice60,0,1,3,3,24,1
sub-1172,1,Mean60,1,1,4,2,25,2
sub-1172,1,Nice80,1,0,2,3,26,2
sub-1172,1,Mean80,1,0,1,2,27,1
sub-1172,1,Nice60,1,1,NA,3,28,2
sub-1172,1,Mean60,1,0,1,2,29,2
sub-1172,1,Nice80,1,1,4,3,30,1
sub-1172,1,Mean80,1,0,1,2,31,1
sub-1172,1,Nice60,1,0,2,3,32,2
